symbol,name,industry,exchange_code,asset_type
CDNS,Cadence Design Systems Inc,,NASDAQ,STOCK
CDW,CDW Corp,,NASDAQ,STOCK
CE,Celanese Corp - Series A,,NYSE,STOCK
CEG,Constellation Energy Corporation,,NASDAQ,STOCK
CF,CF Industries Holdings Inc,,NYSE,STOCK
CFG,Citizens Financial Group Inc,,NYSE,STOCK
CHD,Church & Dwight Co. Inc,,NYSE,STOCK
CHRW,C.H. Robinson Worldwide Inc,,NASDAQ,STOCK
CHTR,Charter Communications Inc - Class A,,NASDAQ,STOCK
CI,Cigna Group (The),,NYSE,STOCK
CINF,Cincinnati Financial Corp,,NASDAQ,STOCK
CL,Colgate-Palmolive Company,,NYSE,STOCK
CLX,Clorox Company,,NYSE,STOCK
CMA,Comerica Inc,,NYSE,STOCK
CMCSA,Comcast Corp - Class A,,NASDAQ,STOCK
CME,CME Group Inc - Class A,,NASDAQ,STOCK
CMG,Chipotle Mexican Grill,,NYSE,STOCK
CMI,Cummins Inc,,NYSE,STOCK
CMS,CMS Energy Corporation,,NYSE,STOCK
CNC,Centene Corp,,NYSE,STOCK
CNP,Centerpoint Energy Inc,,NYSE,STOCK
COF,Capital One Financial Corp,,NYSE,STOCK
COO,Cooper Companies Inc,,NASDAQ,STOCK
COP,Conoco Phillips,,NYSE,STOCK
COST,Costco Wholesale Corp,,NASDAQ,STOCK
CPB,Campbell Soup Company,,NYSE,STOCK
CPRT,Copart Inc,,NASDAQ,STOCK
CPT,Camden Property Trust,,NYSE,STOCK
CRL,Charles River Laboratories International Inc,,NYSE,STOCK
CRM,Salesforce Inc,,NYSE,STOCK
CSCO,Cisco Systems Inc,,NASDAQ,STOCK
CSGP,Costar Group Inc,,NASDAQ,STOCK
CSX,CSX Corp,,NASDAQ,STOCK
CTAS,Cintas Corporation,,NASDAQ,STOCK
CTLT,Catalent Inc,,NYSE,STOCK
CTRA,Coterra Energy Inc,,NYSE,STOCK
CTSH,Cognizant Technology Solutions Corp - Class A,,NASDAQ,STOCK
CTVA,Corteva Inc,,NYSE,STOCK
CVS,CVS Health Corp,,NYSE,STOCK
CVX,Chevron Corp,,NYSE,STOCK
CZR,Caesars Entertainment Inc,,NASDAQ,STOCK
D,Dominion Energy Inc,,NYSE,STOCK
DAL,Delta Air Lines Inc,,NYSE,STOCK
DD,DuPont de Nemours Inc,,NYSE,STOCK
DE,Deere & Company,,NYSE,STOCK
DFS,Discover Financial Services,,NYSE,STOCK
DG,Dollar General Corp,,NYSE,STOCK
DGX,Quest Diagnostics Inc,,NYSE,STOCK
DHI,D.R. Horton Inc,,NYSE,STOCK
DHR,Danaher Corp,,NYSE,STOCK
DIS,Walt Disney Co (The),,NYSE,STOCK
DISH,Dish Network Corp - Class A,,NASDAQ,STOCK
DLR,Digital Realty Trust Inc,,NYSE,STOCK
DLTR,Dollar Tree Inc,,NASDAQ,STOCK
DOV,Dover Corp,,NYSE,STOCK
DOW,Dow Inc,,NYSE,STOCK
DPZ,Dominos Pizza Inc,,NYSE,STOCK
DRI,Darden Restaurants Inc,,NYSE,STOCK
DTE,DTE Energy Company,,NYSE,STOCK
DUK,Duke Energy Corp,,NYSE,STOCK
DVA,DaVita Inc,,NYSE,STOCK
DVN,Devon Energy Corp,,NYSE,STOCK
DXC,DXC Technology Company,,NYSE,STOCK
DXCM,Dexcom Inc,,NASDAQ,STOCK
EA,Electronic Arts Inc,,NASDAQ,STOCK
EBAY,EBay Inc,,NASDAQ,STOCK
ECL,Ecolab Inc,,NYSE,STOCK
ED,Consolidated Edison Inc,,NYSE,STOCK
EFX,Equifax Inc,,NYSE,STOCK
EIX,Edison International,,NYSE,STOCK
EL,Estee Lauder Cos. Inc - Class A,,NYSE,STOCK
ELV,Elevance Health Inc,,NYSE,STOCK
EMN,Eastman Chemical Company,,NYSE,STOCK
EMR,Emerson Electric Company,,NYSE,STOCK
ENPH,Enphase Energy Inc,,NASDAQ,STOCK
EOG,EOG Resources Inc,,NYSE,STOCK
EPAM,EPAM Systems Inc,,NYSE,STOCK
EQIX,Equinix Inc,,NASDAQ,STOCK
EQR,Equity Residential Properties Trust,,NYSE,STOCK
EQT,EQT Corp,,NYSE,STOCK
ES,Eversource Energy,,NYSE,STOCK
ESS,Essex Property Trust Inc,,NYSE,STOCK
ETN,Eaton Corporation plc,,NYSE,STOCK
ETR,Entergy Corp,,NYSE,STOCK
ETSY,Etsy Inc,,NASDAQ,STOCK
EVRG,Evergy Inc,,NASDAQ,STOCK
EW,Edwards Lifesciences Corp,,NYSE,STOCK
EXC,Exelon Corp,,NASDAQ,STOCK
EXPD,Expeditors International Of Washington Inc,,NASDAQ,STOCK
EXPE,Expedia Group Inc,,NASDAQ,STOCK
EXR,Extra Space Storage Inc,,NYSE,STOCK
F,Ford Motor Company,,NYSE,STOCK
FANG,Diamondback Energy Inc,,NASDAQ,STOCK
FAST,Fastenal Company,,NASDAQ,STOCK
FCX,Freeport-McMoRan Inc,,NYSE,STOCK
FDS,Factset Research Systems Inc,,NYSE,STOCK
FDX,Fedex Corp,,NYSE,STOCK
FE,Firstenergy Corp,,NYSE,STOCK
FFIV,F5 Inc,,NASDAQ,STOCK
FI,Fiserv Inc,,NYSE,STOCK
FICO,Fair Isaac Corp,,NYSE,STOCK
FIS,Fidelity National Information Services Inc,,NYSE,STOCK
FITB,Fifth Third Bancorp,,NASDAQ,STOCK
FLT,Fleetcor Technologies Inc,,NYSE,STOCK
FMC,FMC Corp,,NYSE,STOCK
FOX,Fox Corporation - Class B,,NASDAQ,STOCK
FOXA,Fox Corporation - Class A,,NASDAQ,STOCK
FRT,Federal Realty Investment Trust.,,NYSE,STOCK
FSLR,First Solar Inc,,NASDAQ,STOCK
FTNT,Fortinet Inc,,NASDAQ,STOCK
FTV,Fortive Corp,,NYSE,STOCK
GD,General Dynamics Corp,,NYSE,STOCK
GE,General Electric Company,,NYSE,STOCK
GEHC,GE HealthCare Technologies Inc,,NASDAQ,STOCK
GEN,Gen Digital Inc,,NASDAQ,STOCK
GILD,Gilead Sciences Inc,,NASDAQ,STOCK
GIS,General Mills Inc,,NYSE,STOCK
GL,Globe Life Inc,,NYSE,STOCK
GLW,Corning Inc,,NYSE,STOCK
GM,General Motors Company,,NYSE,STOCK
GNRC,Generac Holdings Inc,,NYSE,STOCK
GOOG,Alphabet Inc - Class C,,NASDAQ,STOCK
GOOGL,Alphabet Inc - Class A,,NASDAQ,STOCK
GPC,Genuine Parts Company,,NYSE,STOCK
GPN,Global Payments Inc,,NYSE,STOCK
GRMN,Garmin Ltd,,NYSE,STOCK
GS,Goldman Sachs Group Inc,,NYSE,STOCK
GWW,W.W. Grainger Inc,,NYSE,STOCK
HAL,Halliburton Company,,NYSE,STOCK
HAS,Hasbro Inc,,NASDAQ,STOCK
HBAN,Huntington Bancshares Inc,,NASDAQ,STOCK
HCA,HCA Healthcare Inc,,NYSE,STOCK
HD,Home Depot Inc,,NYSE,STOCK
HES,Hess Corporation,,NYSE,STOCK
HIG,Hartford Financial Services Group Inc,,NYSE,STOCK
HII,Huntington Ingalls Industries Inc,,NYSE,STOCK
HLT,Hilton Worldwide Holdings Inc,,NYSE,STOCK
HOLX,Hologic Inc,,NASDAQ,STOCK
HON,Honeywell International Inc,,NASDAQ,STOCK
HPE,Hewlett Packard Enterprise Company,,NYSE,STOCK
HPQ,HP Inc,,NYSE,STOCK
HRL,Hormel Foods Corp,,NYSE,STOCK
HSIC,Henry Schein Inc,,NASDAQ,STOCK
HST,Host Hotels & Resorts Inc,,NASDAQ,STOCK
HSY,Hershey Company,,NYSE,STOCK
HUM,Humana Inc,,NYSE,STOCK
HWM,Howmet Aerospace Inc,,NYSE,STOCK
IBM,International Business Machines Corp,,NYSE,STOCK
ICE,Intercontinental Exchange Inc,,NYSE,STOCK
IDXX,Idexx Laboratories Inc,,NASDAQ,STOCK
IEX,Idex Corporation,,NYSE,STOCK
IFF,International Flavors & Fragrances Inc,,NYSE,STOCK
ILMN,Illumina Inc,,NASDAQ,STOCK
INCY,Incyte Corp,,NASDAQ,STOCK
INTC,Intel Corp,,NASDAQ,STOCK
INTU,Intuit Inc,,NASDAQ,STOCK
INVH,Invitation Homes Inc,,NYSE,STOCK
IP,International Paper Company,,NYSE,STOCK
IPG,Interpublic Group Of Cos. Inc,,NYSE,STOCK
