Open,High,Low,Close,Adj Close,Volume
63.04,63.47,62.58,62.58,62.58,103710
62.62,62.76,62.04,62.49,62.49,118877
62.27,62.65,61.86,61.86,61.86,81956
62.26,62.66,62.02,62.56,62.56,70218
62.55,63.32,62.31,63.24,63.24,125908
63.56,64.61,63.47,63.81,63.81,272685
64.05,64.21,63.36,63.86,63.86,130975
63.65,64.02,63.4,63.78,63.78,157373
63.85,64.79,63.58,64.7,64.7,88309
64.72,65.38,64.4,64.75,64.75,102860
64.81,65.3,64.61,64.81,64.81,102350
65.22,65.5,65.05,65.22,65.22,152519
65.09,65.19,64.47,64.76,64.76,185952
64.68,65.55,64.5,65.08,65.08,135699
65.58,65.99,65.3,65.71,65.71,606258
65.58,66.47,65.54,66.41,66.41,254649
66.87,67.2,66.5,67.11,67.11,205584
67.54,67.81,67.0,67.51,67.51,178084
67.43,67.53,67.0,67.22,67.22,208072
67.3,67.74,67.15,67.74,67.74,146932
67.86,68.44,67.75,67.96,67.96,224389
67.5,67.7,66.75,67.11,67.11,161223
66.69,67.05,66.04,66.24,66.24,171548
66.24,66.78,65.98,66.73,66.73,215982
66.99,67.15,66.67,66.86,66.86,169188
67.5,67.59,66.26,66.26,66.26,157445
65.52,66.1,64.74,65.04,65.04,161816
65.2,65.64,64.8,64.98,64.98,113108
64.47,64.86,64.15,64.57,64.57,112910
65.28,65.95,65.01,65.8,65.8,117991
65.18,65.28,64.71,64.92,64.92,93642
64.61,65.01,64.11,64.74,64.74,88962
64.52,65.4,64.4,65.24,65.24,57955
65.78,66.28,65.07,66.12,66.12,102824
65.78,66.66,65.73,66.56,66.56,109572
66.39,66.88,66.27,66.78,66.78,122538
66.93,67.36,65.55,65.7,65.7,130395
65.23,65.35,64.53,64.81,64.81,287269
64.88,66.1,64.36,64.58,64.58,68235
64.17,64.5,63.75,63.88,63.88,95803
64.7,64.9,63.83,64.21,64.21,163659
64.22,64.97,64.01,64.75,64.75,77884
63.58,65.3,63.05,63.22,63.22,118272
63.26,64.19,62.98,63.94,63.94,124745
65.0,65.57,63.75,64.28,64.28,213691
64.89,65.33,64.5,64.54,64.54,93367
64.54,65.24,63.19,64.91,64.91,161597
64.88,65.06,62.37,62.53,62.53,79086
62.16,62.78,61.75,62.28,62.28,277055
60.84,62.1,60.43,61.44,61.44,155871
61.92,63.0,61.84,62.67,62.67,147470
62.26,63.17,62.1,62.93,62.93,274553
63.29,64.04,62.97,63.9,63.9,109892
63.4,64.0,62.32,62.54,62.54,124227
61.99,62.7,61.71,62.05,62.05,134229
61.69,61.87,61.13,61.4,61.4,100944
62.21,62.42,61.4,61.53,61.53,270017
61.29,61.52,59.04,60.49,60.49,180144
61.87,63.0,61.03,61.26,61.26,207139
60.87,61.53,60.63,60.99,60.99,212141
62.46,63.0,61.94,62.03,62.03,169449
62.74,62.89,62.17,62.47,62.47,98151
62.3,62.77,61.95,62.4,62.4,254373
62.01,62.86,61.78,62.59,62.59,79631
62.81,63.65,62.11,63.36,63.36,133380
63.99,63.99,63.04,63.42,63.42,85465
63.14,63.4,62.62,63.33,63.33,51338
62.86,63.98,62.42,62.72,62.72,83767
62.02,63.4,62.01,63.19,63.19,131826
63.76,64.2,63.49,63.91,63.91,261323
64.09,64.35,63.58,63.84,63.84,186856
63.67,63.8,63.22,63.34,63.34,74236
62.87,63.78,62.7,63.48,63.48,81630
63.06,65.0,62.41,62.7,62.7,127309
62.94,63.16,62.32,62.64,62.64,91390
62.8,63.42,62.7,63.21,63.21,113487
63.0,63.42,62.81,63.12,63.12,171078
62.53,63.74,62.1,63.74,63.74,214240
64.38,64.49,63.68,63.76,63.76,136176
64.1,64.67,63.87,64.5,64.5,118503
63.88,64.36,63.65,64.15,64.15,225661
63.9,64.05,63.2,63.38,63.38,146775
63.26,63.31,62.9,63.17,63.17,128393
62.91,63.56,62.83,63.06,63.06,124114
63.43,63.67,63.32,63.42,63.42,86212
63.37,63.68,63.16,63.63,63.63,208382
63.95,64.28,63.25,63.3,63.3,154604
63.36,63.56,63.11,63.24,63.24,203708
63.36,63.45,63.19,63.2,63.2,209665
63.06,63.16,62.64,62.96,62.96,184808
62.81,62.99,62.49,62.49,62.49,321092
62.9,62.99,62.51,62.92,62.92,282210
64.17,64.25,62.76,63.15,63.15,253813
63.06,63.65,62.46,62.76,62.76,233140
62.7,63.0,62.48,62.65,62.65,147687
62.29,62.59,61.23,61.41,61.41,281098
61.71,61.8,60.97,61.25,61.25,244954
61.38,61.75,61.27,61.52,61.52,178961
61.67,61.8,61.05,61.29,61.29,139969
60.97,61.38,60.88,61.27,61.27,102634
61.73,63.65,61.63,62.24,62.24,198150
61.86,62.05,61.55,61.95,61.95,118938
60.8,63.1,60.17,60.43,60.43,92530
60.41,60.53,59.75,59.95,59.95,110686
59.94,60.15,59.6,59.6,59.6,112790
59.12,59.9,58.96,59.54,59.54,119984
59.7,60.88,59.68,60.78,60.78,196685
60.68,60.97,59.89,59.92,59.92,151211
60.07,60.26,60.01,60.16,60.16,156611
60.41,60.62,59.8,59.86,59.86,188492
59.73,60.54,59.6,60.38,60.38,125360
60.21,61.19,60.1,60.21,60.21,44085
