Symbol,Description,Sector,Industry,Sub-Industry,asset_type,exchange_code,data_source
VMID,VMID == UK ETF,,,,EQUITY_FUNDS,UK-EXCH-TODO,TEMPORARY
VUKE,VUKE == UK ETF,,,,EQUITY_FUNDS,UK-EXCH-TODO,TEMPORARY
VUSA,VUSA == UK ETF,,,,EQUITY_FUNDS,UK-EXCH-TODO,TEMPORARY
