symbol,name,industry,exchange_code,asset_type,data_source, note_1
PKG,Packaging Corp Of America,,NYSE,STOCK,YFINANCE,SP500
PLD,Prologis Inc,,NYSE,STOCK,YFINANCE,SP500
PM,Philip Morris International Inc,,NYSE,STOCK,YFINANCE,SP500
PNC,PNC Financial Services Group Inc,,NYSE,STOCK,YFINANCE,SP500
PNR,Pentair plc,,NYSE,STOCK,YFINANCE,SP500
PNW,Pinnacle West Capital Corp,,NYSE,STOCK,YFINANCE,SP500
PODD,Insulet Corporation,,NASDAQ,STOCK,YFINANCE,SP500
POOL,Pool Corporation,,NASDAQ,STOCK,YFINANCE,SP500
PPG,PPG Industries Inc,,NYSE,STOCK,YFINANCE,SP500
PPL,PPL Corp,,NYSE,STOCK,YFINANCE,SP500
PRU,Prudential Financial Inc,,NYSE,STOCK,YFINANCE,SP500
PSA,Public Storage.,,NYSE,STOCK,YFINANCE,SP500
PSX,Phillips 66,,NYSE,STOCK,YFINANCE,SP500
PTC,PTC Inc,,NASDAQ,STOCK,YFINANCE,SP500
PWR,Quanta Services Inc,,NYSE,STOCK,YFINANCE,SP500
PXD,Pioneer Natural Resources Company,,NYSE,STOCK,YFINANCE,SP500
PYPL,PayPal Holdings Inc,,NASDAQ,STOCK,YFINANCE,SP500
QCOM,Qualcomm Inc,,NASDAQ,STOCK,YFINANCE,SP500
QRVO,Qorvo Inc,,NASDAQ,STOCK,YFINANCE,SP500
RCL,Royal Caribbean Group,,NYSE,STOCK,YFINANCE,SP500
REG,Regency Centers Corporation,,NASDAQ,STOCK,YFINANCE,SP500
REGN,Regeneron Pharmaceuticals Inc,,NASDAQ,STOCK,YFINANCE,SP500
RF,Regions Financial Corp,,NYSE,STOCK,YFINANCE,SP500
RHI,Robert Half Inc,,NYSE,STOCK,YFINANCE,SP500
RJF,Raymond James Financial Inc,,NYSE,STOCK,YFINANCE,SP500
RL,Ralph Lauren Corp - Class A,,NYSE,STOCK,YFINANCE,SP500
RMD,Resmed Inc,,NYSE,STOCK,YFINANCE,SP500
ROK,Rockwell Automation Inc,,NYSE,STOCK,YFINANCE,SP500
ROL,Rollins Inc,,NYSE,STOCK,YFINANCE,SP500
ROP,Roper Technologies Inc,,NASDAQ,STOCK,YFINANCE,SP500
ROST,Ross Stores Inc,,NASDAQ,STOCK,YFINANCE,SP500
RSG,Republic Services Inc,,NYSE,STOCK,YFINANCE,SP500
RTX,RTX Corp,,NYSE,STOCK,YFINANCE,SP500
RVTY,Revvity Inc,,NYSE,STOCK,YFINANCE,SP500
SBAC,SBA Communications Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
SBUX,Starbucks Corp,,NASDAQ,STOCK,YFINANCE,SP500
SCHW,Charles Schwab Corp,,NYSE,STOCK,YFINANCE,SP500
SEDG,Solaredge Technologies Inc,,NASDAQ,STOCK,YFINANCE,SP500
SEE,Sealed Air Corp,,NYSE,STOCK,YFINANCE,SP500
SHW,Sherwin-Williams Company,,NYSE,STOCK,YFINANCE,SP500
SJM,J.M. Smucker Company,,NYSE,STOCK,YFINANCE,SP500
SLB,SLB,,NYSE,STOCK,YFINANCE,SP500
SNA,Snap-on Inc,,NYSE,STOCK,YFINANCE,SP500
SNPS,Synopsys Inc,,NASDAQ,STOCK,YFINANCE,SP500
SO,Southern Company,,NYSE,STOCK,YFINANCE,SP500
SPG,Simon Property Group Inc,,NYSE,STOCK,YFINANCE,SP500
SPGI,S&P Global Inc,,NYSE,STOCK,YFINANCE,SP500
SRE,Sempra,,NYSE,STOCK,YFINANCE,SP500
STE,Steris Plc,,NYSE,STOCK,YFINANCE,SP500
STLD,Steel Dynamics Inc,,NASDAQ,STOCK,YFINANCE,SP500
STT,State Street Corp,,NYSE,STOCK,YFINANCE,SP500
STX,Seagate Technology Holdings Plc,,NASDAQ,STOCK,YFINANCE,SP500
STZ,Constellation Brands Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
SWK,Stanley Black & Decker Inc,,NYSE,STOCK,YFINANCE,SP500
SWKS,Skyworks Solutions Inc,,NASDAQ,STOCK,YFINANCE,SP500
SYF,Synchrony Financial,,NYSE,STOCK,YFINANCE,SP500
SYK,Stryker Corp,,NYSE,STOCK,YFINANCE,SP500
SYY,Sysco Corp,,NYSE,STOCK,YFINANCE,SP500
T,AT&T Inc,,NYSE,STOCK,YFINANCE,SP500
TAP,Molson Coors Beverage Company - Class B,,NYSE,STOCK,YFINANCE,SP500
TDG,Transdigm Group Incorporated,,NYSE,STOCK,YFINANCE,SP500
TDY,Teledyne Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
TECH,Bio-Techne Corp,,NASDAQ,STOCK,YFINANCE,SP500
TEL,TE Connectivity Ltd,,NYSE,STOCK,YFINANCE,SP500
TER,Teradyne Inc,,NASDAQ,STOCK,YFINANCE,SP500
TFC,Truist Financial Corporation,,NYSE,STOCK,YFINANCE,SP500
TFX,Teleflex Incorporated,,NYSE,STOCK,YFINANCE,SP500
TGT,Target Corp,,NYSE,STOCK,YFINANCE,SP500
TJX,TJX Companies Inc,,NYSE,STOCK,YFINANCE,SP500
TMO,Thermo Fisher Scientific Inc,,NYSE,STOCK,YFINANCE,SP500
TMUS,T-Mobile US Inc,,NASDAQ,STOCK,YFINANCE,SP500
TPR,Tapestry Inc,,NYSE,STOCK,YFINANCE,SP500
TRGP,Targa Resources Corp,,NYSE,STOCK,YFINANCE,SP500
TRMB,Trimble Inc,,NASDAQ,STOCK,YFINANCE,SP500
TROW,T. Rowe Price Group Inc,,NASDAQ,STOCK,YFINANCE,SP500
TRV,Travelers Companies Inc,,NYSE,STOCK,YFINANCE,SP500
TSCO,Tractor Supply Company,,NASDAQ,STOCK,YFINANCE,SP500
TSLA,Tesla Inc,,NASDAQ,STOCK,YFINANCE,SP500
TSN,Tyson Foods Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
TT,Trane Technologies plc - Class A,,NYSE,STOCK,YFINANCE,SP500
TTWO,Take-Two Interactive Software Inc,,NASDAQ,STOCK,YFINANCE,SP500
TXN,Texas Instruments Inc,,NASDAQ,STOCK,YFINANCE,SP500
TXT,Textron Inc,,NYSE,STOCK,YFINANCE,SP500
TYL,Tyler Technologies Inc,,NYSE,STOCK,YFINANCE,SP500
UAL,United Airlines Holdings Inc,,NASDAQ,STOCK,YFINANCE,SP500
UDR,UDR Inc,,NYSE,STOCK,YFINANCE,SP500
UHS,Universal Health Services Inc - Class B,,NYSE,STOCK,YFINANCE,SP500
ULTA,Ulta Beauty Inc,,NASDAQ,STOCK,YFINANCE,SP500
UNH,Unitedhealth Group Inc,,NYSE,STOCK,YFINANCE,SP500
UNP,Union Pacific Corp,,NYSE,STOCK,YFINANCE,SP500
UPS,United Parcel Service Inc - Class B,,NYSE,STOCK,YFINANCE,SP500
URI,United Rentals Inc,,NYSE,STOCK,YFINANCE,SP500
USB,U.S. Bancorp.,,NYSE,STOCK,YFINANCE,SP500
V,Visa Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
VFC,VF Corp,,NYSE,STOCK,YFINANCE,SP500
VICI,VICI Properties Inc,,NYSE,STOCK,YFINANCE,SP500
VLO,Valero Energy Corp,,NYSE,STOCK,YFINANCE,SP500
VMC,Vulcan Materials Company,,NYSE,STOCK,YFINANCE,SP500
VRSK,Verisk Analytics Inc,,NASDAQ,STOCK,YFINANCE,SP500
VRSN,Verisign Inc,,NASDAQ,STOCK,YFINANCE,SP500
VRTX,Vertex Pharmaceuticals Inc,,NASDAQ,STOCK,YFINANCE,SP500
VTR,Ventas Inc,,NYSE,STOCK,YFINANCE,SP500
VTRS,Viatris Inc,,NASDAQ,STOCK,YFINANCE,SP500
VZ,Verizon Communications Inc,,NYSE,STOCK,YFINANCE,SP500
WAB,Westinghouse Air Brake Technologies Corp,,NYSE,STOCK,YFINANCE,SP500
WAT,Waters Corp,,NYSE,STOCK,YFINANCE,SP500
WBA,Walgreens Boots Alliance Inc,,NASDAQ,STOCK,YFINANCE,SP500
WBD,Warner Bros. Discovery Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
WDC,Western Digital Corp,,NASDAQ,STOCK,YFINANCE,SP500
WEC,WEC Energy Group Inc,,NYSE,STOCK,YFINANCE,SP500
WELL,Welltower Inc,,NYSE,STOCK,YFINANCE,SP500
WFC,Wells Fargo & Company,,NYSE,STOCK,YFINANCE,SP500
WHR,Whirlpool Corp,,NYSE,STOCK,YFINANCE,SP500
WM,Waste Management Inc,,NYSE,STOCK,YFINANCE,SP500
WMB,Williams Cos Inc,,NYSE,STOCK,YFINANCE,SP500
WMT,Walmart Inc,,NYSE,STOCK,YFINANCE,SP500
WRB,W.R. Berkley Corp,,NYSE,STOCK,YFINANCE,SP500
WRK,WestRock Company,,NYSE,STOCK,YFINANCE,SP500
WST,West Pharmaceutical Services Inc,,NYSE,STOCK,YFINANCE,SP500
WTW,Willis Towers Watson Public Ltd Company,,NASDAQ,STOCK,YFINANCE,SP500
WY,Weyerhaeuser Company,,NYSE,STOCK,YFINANCE,SP500
WYNN,Wynn Resorts Ltd,,NASDAQ,STOCK,YFINANCE,SP500
XEL,Xcel Energy Inc,,NASDAQ,STOCK,YFINANCE,SP500
XOM,Exxon Mobil Corp,,NYSE,STOCK,YFINANCE,SP500
XRAY,DENTSPLY Sirona Inc,,NASDAQ,STOCK,YFINANCE,SP500
XYL,Xylem Inc,,NYSE,STOCK,YFINANCE,SP500
YUM,Yum Brands Inc,,NYSE,STOCK,YFINANCE,SP500
ZBH,Zimmer Biomet Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
ZBRA,Zebra Technologies Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
ZION,Zions Bancorporation N.A,,NASDAQ,STOCK,YFINANCE,SP500
ZTS,Zoetis Inc - Class A,,NYSE,STOCK,YFINANCE,SP500
VMID.L,Vanguard FTSE 250 UCITS ETF,,UK-EXCH-TODO,EQUITY_FUNDS,YFINANCE,SP500
VHYG.L,Vanguard FTSE All-World High Dividend Yield UCITS ETF,,UK-EXCH-TODO,EQUITY_FUNDS,YFINANCE,SP500
VUKE.L,Vanguard FTSE 100 UCITS ETF,,UK-EXCH-TODO,EQUITY_FUNDS,YFINANCE,SP500
VUSA.L,Vanguard S&P 500 UCITS ETF, ,UK-EXCH-TODO,EQUITY_FUNDS,YFINANCE,SP500
