symbol,name,industry,exchange_code,asset_type,data_source, note_1
CCL,Carnival Corp (Paired Stock),,NYSE,STOCK,YFINANCE,SP500
CDAY,Ceridian HCM Holding Inc,,NYSE,STOCK,YFINANCE,SP500
CDNS,Cadence Design Systems Inc,,NASDAQ,STOCK,YFINANCE,SP500
CDW,CDW Corp,,NASDAQ,STOCK,YFINANCE,SP500
CE,Celanese Corp - Series A,,NYSE,STOCK,YFINANCE,SP500
CEG,Constellation Energy Corporation,,NASDAQ,STOCK,YFINANCE,SP500
CF,CF Industries Holdings Inc,,NYSE,STOCK,YFINANCE,SP500
CFG,Citizens Financial Group Inc,,NYSE,STOCK,YFINANCE,SP500
CHD,Church & Dwight Co. Inc,,NYSE,STOCK,YFINANCE,SP500
CHRW,C.H. Robinson Worldwide Inc,,NASDAQ,STOCK,YFINANCE,SP500
CHTR,Charter Communications Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
CI,Cigna Group (The),,NYSE,STOCK,YFINANCE,SP500
CINF,Cincinnati Financial Corp,,NASDAQ,STOCK,YFINANCE,SP500
CL,Colgate-Palmolive Company,,NYSE,STOCK,YFINANCE,SP500
CLX,Clorox Company,,NYSE,STOCK,YFINANCE,SP500
CMA,Comerica Inc,,NYSE,STOCK,YFINANCE,SP500
CMCSA,Comcast Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
CME,CME Group Inc - Class A,,NASDAQ,STOCK,YFINANCE,SP500
CMG,Chipotle Mexican Grill,,NYSE,STOCK,YFINANCE,SP500
CMI,Cummins Inc,,NYSE,STOCK,YFINANCE,SP500
CMS,CMS Energy Corporation,,NYSE,STOCK,YFINANCE,SP500
CNC,Centene Corp,,NYSE,STOCK,YFINANCE,SP500
CNP,Centerpoint Energy Inc,,NYSE,STOCK,YFINANCE,SP500
COF,Capital One Financial Corp,,NYSE,STOCK,YFINANCE,SP500
COO,Cooper Companies Inc,,NASDAQ,STOCK,YFINANCE,SP500
COP,Conoco Phillips,,NYSE,STOCK,YFINANCE,SP500
COST,Costco Wholesale Corp,,NASDAQ,STOCK,YFINANCE,SP500
CPB,Campbell Soup Company,,NYSE,STOCK,YFINANCE,SP500
CPRT,Copart Inc,,NASDAQ,STOCK,YFINANCE,SP500
CPT,Camden Property Trust,,NYSE,STOCK,YFINANCE,SP500
CRL,Charles River Laboratories International Inc,,NYSE,STOCK,YFINANCE,SP500
CRM,Salesforce Inc,,NYSE,STOCK,YFINANCE,SP500
CSCO,Cisco Systems Inc,,NASDAQ,STOCK,YFINANCE,SP500
CSGP,Costar Group Inc,,NASDAQ,STOCK,YFINANCE,SP500
CSX,CSX Corp,,NASDAQ,STOCK,YFINANCE,SP500
CTAS,Cintas Corporation,,NASDAQ,STOCK,YFINANCE,SP500
CTLT,Catalent Inc,,NYSE,STOCK,YFINANCE,SP500
CTRA,Coterra Energy Inc,,NYSE,STOCK,YFINANCE,SP500
CTSH,Cognizant Technology Solutions Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
CTVA,Corteva Inc,,NYSE,STOCK,YFINANCE,SP500
CVS,CVS Health Corp,,NYSE,STOCK,YFINANCE,SP500
CVX,Chevron Corp,,NYSE,STOCK,YFINANCE,SP500
CZR,Caesars Entertainment Inc,,NASDAQ,STOCK,YFINANCE,SP500
D,Dominion Energy Inc,,NYSE,STOCK,YFINANCE,SP500
DAL,Delta Air Lines Inc,,NYSE,STOCK,YFINANCE,SP500
DD,DuPont de Nemours Inc,,NYSE,STOCK,YFINANCE,SP500
DE,Deere & Company,,NYSE,STOCK,YFINANCE,SP500
DFS,Discover Financial Services,,NYSE,STOCK,YFINANCE,SP500
DG,Dollar General Corp,,NYSE,STOCK,YFINANCE,SP500
DGX,Quest Diagnostics Inc,,NYSE,STOCK,YFINANCE,SP500
DHI,D.R. Horton Inc,,NYSE,STOCK,YFINANCE,SP500
DHR,Danaher Corp,,NYSE,STOCK,YFINANCE,SP500
DIS,Walt Disney Co (The),,NYSE,STOCK,YFINANCE,SP500
DISH,Dish Network Corp - Class A,,NASDAQ,STOCK,YFINANCE,SP500
DLR,Digital Realty Trust Inc,,NYSE,STOCK,YFINANCE,SP500
DLTR,Dollar Tree Inc,,NASDAQ,STOCK,YFINANCE,SP500
DOV,Dover Corp,,NYSE,STOCK,YFINANCE,SP500
DOW,Dow Inc,,NYSE,STOCK,YFINANCE,SP500
DPZ,Dominos Pizza Inc,,NYSE,STOCK,YFINANCE,SP500
DRI,Darden Restaurants Inc,,NYSE,STOCK,YFINANCE,SP500
DTE,DTE Energy Company,,NYSE,STOCK,YFINANCE,SP500
DUK,Duke Energy Corp,,NYSE,STOCK,YFINANCE,SP500
DVA,DaVita Inc,,NYSE,STOCK,YFINANCE,SP500
DVN,Devon Energy Corp,,NYSE,STOCK,YFINANCE,SP500
DXC,DXC Technology Company,,NYSE,STOCK,YFINANCE,SP500
DXCM,Dexcom Inc,,NASDAQ,STOCK,YFINANCE,SP500
EA,Electronic Arts Inc,,NASDAQ,STOCK,YFINANCE,SP500
