Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2023-01-03,NTRS,88.17333984375,89.77999877929688,90.5199966430664,88.9000015258789,89.5999984741211,719400.0
2023-01-04,NTRS,90.03933715820312,91.68000030517578,92.62000274658203,90.08999633789062,90.13999938964844,1202400.0
2023-01-05,NTRS,89.87238311767578,91.51000213623047,91.9800033569336,90.69999694824219,91.33000183105469,707200.0
2023-01-06,NTRS,92.97583770751953,94.66999816894531,94.97000122070312,91.12000274658203,92.54000091552734,1116900.0
2023-01-09,NTRS,92.5240707397461,94.20999908447266,96.25,94.08999633789062,95.19999694824219,1043700.0
2023-01-10,NTRS,93.14279174804688,94.83999633789062,95.22000122070312,93.18000030517578,93.87000274658203,585400.0
2023-01-11,NTRS,94.55702209472656,96.27999877929688,96.51000213623047,94.83999633789062,94.91000366210938,606300.0
2023-01-12,NTRS,95.5882339477539,97.33000183105469,98.68000030517578,96.13999938964844,96.66999816894531,1313300.0
2023-01-13,NTRS,96.44265747070312,98.19999694824219,99.0199966430664,95.94999694824219,96.44000244140625,757700.0
2023-01-17,NTRS,97.62118530273438,99.4000015258789,99.77999877929688,97.5,98.16000366210938,1451700.0
2023-01-18,NTRS,97.19888305664062,98.97000122070312,100.25,98.72000122070312,99.3499984741211,1636800.0
2023-01-19,NTRS,88.84117126464844,90.45999908447266,95.30999755859375,88.5,95.25,3491100.0
2023-01-20,NTRS,91.68927764892578,93.36000061035156,93.41000366210938,90.08999633789062,90.87000274658203,2392300.0
2023-01-23,NTRS,92.85798645019531,94.55000305175781,95.2699966430664,92.9000015258789,93.2300033569336,1121000.0
2023-01-24,NTRS,93.07404327392578,94.7699966430664,95.61000061035156,93.72000122070312,94.54000091552734,858100.0
2023-01-25,NTRS,92.66155242919922,94.3499984741211,94.5999984741211,92.93000030517578,93.66999816894531,1838400.0
2023-01-26,NTRS,95.20521545410156,96.94000244140625,97.01000213623047,94.37999725341797,94.98999786376953,1387000.0
2023-01-27,NTRS,95.46055603027344,97.19999694824219,98.12999725341797,96.44999694824219,96.63999938964844,1035400.0
2023-01-30,NTRS,93.67312622070312,95.37999725341797,96.9800033569336,95.18000030517578,96.19000244140625,925400.0
2023-01-31,NTRS,95.23467254638672,96.97000122070312,97.01000213623047,94.48999786376953,95.33000183105469,1193200.0
2023-02-01,NTRS,95.01860809326172,96.75,97.91000366210938,95.3499984741211,96.30999755859375,1675800.0
2023-02-02,NTRS,96.33462524414062,98.08999633789062,99.2699966430664,96.56999969482422,97.98999786376953,1059600.0
