Symbol,Description,exchange_code,asset_type
HVPE.L,HarbourVest Global Private Equity Ltd,LSE,ETF,TRADING212
HWWA.L,HSBC Multi Factor Worldwide Equity UCITS ETF,LSE,ETF,TRADING212
HYGG.L,Global X Hydrogen UCITS ETF,LSE,ETF,TRADING212
HYSD.L,iShares Broad USD High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
I500.L,iShares S\u0026P 500 Swap UCITS ETF,LSE,ETF,TRADING212
IAEX.L,iShares AEX UCITS ETF,LSE,ETF,TRADING212
IAPD.L,iShares Asia Pacific Dividend UCITS ETF,LSE,ETF,TRADING212
IASH.L,iShares MSCI China A UCITS ETF,LSE,ETF,TRADING212
IASP.L,iShares Asia Property Yield UCITS ETF,LSE,ETF,TRADING212
IBCI.L,iShares EUR Inflation Linked Govt Bond UCITS ETF,LSE,ETF,TRADING212
IBGE.L,Ishares III Plc - Ishares C Govt Bond 0-1Yr Ucits Etf,LSE,ETF,TRADING212
IBGL.L,iShares EUR Govt Bond 15-30yr UCITS ETF,LSE,ETF,TRADING212
IBGM.L,iShares II plc - iShares EUR Govt Bond 7-10yr UCITS ETF,LSE,ETF,TRADING212
IBGS.L,iShares EUR Govt Bond 1-3yr UCITS ETF,LSE,ETF,TRADING212
IBGX.L,iShares EUR Govt Bond 3-5yr UCITS ETF,LSE,ETF,TRADING212
IBGY.L,iShares EUR Govt Bond 5-7yr UCITS ETF,LSE,ETF,TRADING212
IBGZ.L,iShares EUR Govt Bond 10-15yr UCITS ETF,LSE,ETF,TRADING212
IBTG.L,iShares USD Treasury Bond 1-3yr UCITS ETF,LSE,ETF,TRADING212
IBTL.L,iShares USD Treasury Bond 20+yr UCITS ETF,LSE,ETF,TRADING212
IBTM.L,iShares USD Treasury Bond 7-10yr UCITS ETF,LSE,ETF,TRADING212
IBTS.L,iShares USD Treasury Bond 1-3yr UCITS ETF,LSE,ETF,TRADING212
IBZL.L,iShares MSCI Brazil UCITS ETF USD Dist,LSE,ETF,TRADING212
ICDU.L,iShares S\u0026P 500 Consumer Discretionary Sector UCITS ETF,LSE,ETF,TRADING212
ICSU.L,iShares S\u0026P 500 Consumer Staples Sector UCITS ETF,LSE,ETF,TRADING212
IDJG.L,iShares Euro Total Market Growth Large UCITS ETF,LSE,ETF,TRADING212
IDTG.L,iShares USD Treasury Bond 20+yr UCITS ETF,LSE,ETF,TRADING212
IDVY.L,iShares Euro Dividend UCITS ETF,LSE,ETF,TRADING212
IE1G.L,iShares EUR Corp Bond 1-5yr UCITS ETF,LSE,ETF,TRADING212
IEAH.L,iShares Core EUR Corp Bond UCITS ETF,LSE,ETF,TRADING212
IEBC.L,iShares Core EUR Corp Bond UCITS ETF,LSE,ETF,TRADING212
IEEM.L,iShares MSCI EM UCITS ETF USD Dist,LSE,ETF,TRADING212
IEER.L,iShares MSCI Eastern Europe Capped UCITS ETF,LSE,ETF,TRADING212
IEFM.L,iShares Edge MSCI Europe Momentum Factor UCITS ETF,LSE,ETF,TRADING212
IEFQ.L,iShares Edge MSCI Europe Quality Factor UCITS ETF,LSE,ETF,TRADING212
IEFS.L,iShares Edge MSCI Europe Size Factor UCITS ETF,LSE,ETF,TRADING212
IEFV.L,iShares Edge MSCI Europe Value Factor UCITS ETF,LSE,ETF,TRADING212
IEMI.L,iShares EM Infrastructure UCITS ETF,LSE,ETF,TRADING212
IESG.L,iShares MSCI Europe SRI UCITS ETF,LSE,ETF,TRADING212
IESU.L,iShares S\u0026P 500 Energy Sector UCITS ETF,LSE,ETF,TRADING212
IEUX.L,iShares MSCI Europe ex-UK UCITS ETF,LSE,ETF,TRADING212
IFFF.L,iShares plc - iShares MSCI AC Far East ex-Japan UCITS ETF,LSE,ETF,TRADING212
IGBE.L,Invesco GBP Corporate Bond ESG UCITS ETF,LSE,ETF,TRADING212
IGCB.L,Invesco GBP Corporate Bond UCITS ETF,LSE,ETF,TRADING212
IGHY.L,iShares Global High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
IGL5.L,iShares UK Gilts 0-5yr UCITS ETF,LSE,ETF,TRADING212
IGLG.L,iShares Physical Gold GBP Hedged ETC,LSE,ETF,TRADING212
IGLH.L,iShares Global Govt Bond UCITS ETF,LSE,ETF,TRADING212
IGLS.L,iShares UK Gilts 0-5yr UCITS ETF,LSE,ETF,TRADING212
IGLT.L,iShares Core UK Gilts UCITS ETF,LSE,ETF,TRADING212
IGSD.L,iShares USD Short Duration Corp Bond UCITS ETF,LSE,ETF,TRADING212
IGSG.L,iShares Dow Jones Global Sustainability Screened UCITS ETF,LSE,ETF,TRADING212
IGTM.L,iShares USD Treasury Bond 7-10yr UCITS ETF,LSE,ETF,TRADING212
IGUS.L,iShares S\u0026P 500 GBP Hedged UCITS ETF Acc,LSE,ETF,TRADING212
IGWD.L,iShares MSCI World GBP Hedged UCITS ETF Acc,LSE,ETF,TRADING212
IH2O.L,iShares Global Water UCITS ETF,LSE,ETF,TRADING212
IHCU.L,iShares S\u0026P 500 Health Care Sector UCITS ETF,LSE,ETF,TRADING212
IHHG.L,iShares USD High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
IIND.L,iShares MSCI India UCITS ETF,LSE,ETF,TRADING212
IISU.L,iShares S\u0026P 500 Industrials Sector UCITS ETF,LSE,ETF,TRADING212
IITU.L,iShares S\u0026P 500 Information Technology Sector UCITS ETF,LSE,ETF,TRADING212
IJPH.L,iShares MSCI Japan GBP Hedged UCITS ETF Acc,LSE,ETF,TRADING212
IJPN.L,iShares MSCI Japan UCITS ETF USD Dist,LSE,ETF,TRADING212
IKOR.L,iShares MSCI Korea UCITS ETF USD Dist,LSE,ETF,TRADING212
IMEU.L,iShares Core MSCI Europe UCITS ETF,LSE,ETF,TRADING212
IMGP.L,iShares US Mortgage Backed Securities UCITS ETF,LSE,ETF,TRADING212
IMIB.L,iShares FTSE MIB UCITS ETF EUR Dist,LSE,ETF,TRADING212
IMSU.L,iShares S\u0026P 500 Materials Sector UCITS ETF,LSE,ETF,TRADING212
IMV.L,iShares Edge MSCI Europe Minimum Volatility UCITS ETF,LSE,ETF,TRADING212
INAA.L,iShares MSCI North America UCITS ETF,LSE,ETF,TRADING212
INDU.L,WisdomTree Industrial Metals,LSE,ETF,TRADING212
INFR.L,iShares Global Infrastructure UCITS ETF,LSE,ETF,TRADING212
INMG.L,UBS ETC linked to the UBS Bloomberg CMCI Industrial Metals GBP Mth Hdg TR,LSE,ETF,TRADING212
INRG.L,iShares Global Clean Energy UCITS ETF,LSE,ETF,TRADING212
INTL.L,WisdomTree Artificial Intelligence UCITS ETF,LSE,ETF,TRADING212
INXG.L,iShares GBP Index-Linked Gilts UCITS ETF,LSE,ETF,TRADING212
IPRP.L,iShares European Property Yield UCITS ETF,LSE,ETF,TRADING212
IPRV.L,iShares Listed Private Equity UCITS ETF,LSE,ETF,TRADING212
IS15.L,iShares GBP Corp Bond 0-5yr UCITS ETF,LSE,ETF,TRADING212
ISFE.L,iShares MSCI AC Far East ex-Japan Small Cap UCITS ETF,LSE,ETF,TRADING212
ISFR.L,iShares MSCI France UCITS ETF,LSE,ETF,TRADING212
ISF.L,iShares plc - iShares Core FTSE 100 UCITS ETF,LSE,ETF,TRADING212
ISJP.L,iShares MSCI Japan Small Cap UCITS ETF,LSE,ETF,TRADING212
ISP6.L,iShares S\u0026P Small Cap 600 UCITS ETF,LSE,ETF,TRADING212
ISPE.L,iShares S\u0026P 500 Equal Weight UCITS ETF,LSE,ETF,TRADING212
ISPY.L,L\u0026G Cyber Security UCITS ETF,LSE,ETF,TRADING212
ISUS.L,iShares MSCI USA Islamic UCITS ETF,LSE,ETF,TRADING212
ISWD.L,iShares MSCI World Islamic UCITS ETF,LSE,ETF,TRADING212
ISXF.L,iShares GBP Corp Bond ex-Financials UCITS ETF,LSE,ETF,TRADING212
ITEB.L,iShares Italy Govt Bond UCITS ETF,LSE,ETF,TRADING212
ITEP.L,HAN-GINS Tech Megatrend Equal Weight UCITS ETF,LSE,ETF,TRADING212
ITKY.L,iShares MSCI Turkey UCITS ETF,LSE,ETF,TRADING212
ITPG.L,iShares USD TIPS UCITS ETF,LSE,ETF,TRADING212
ITPS.L,iShares USD TIPS UCITS ETF,LSE,ETF,TRADING212
ITWN.L,iShares MSCI Taiwan UCITS ETF,LSE,ETF,TRADING212
IUGA.L,iShares US Aggregate Bond UCITS ETF,LSE,ETF,TRADING212
IUKD.L,iShares UK Dividend UCITS ETF,LSE,ETF,TRADING212
IUKP.L,iShares UK Property UCITS ETF,LSE,ETF,TRADING212
IUMF.L,iShares Edge MSCI USA Momentum Factor UCITS ETF,LSE,ETF,TRADING212
IUQF.L,iShares Edge MSCI USA Quality Factor UCITS ETF,LSE,ETF,TRADING212
IUSA.L,iShares Core S\u0026P 500 UCITS ETF USD Dist,LSE,ETF,TRADING212
IUSF.L,iShares Edge MSCI USA Size Factor UCITS ETF,LSE,ETF,TRADING212
IUSP.L,iShares US Property Yield UCITS ETF,LSE,ETF,TRADING212
IUSU.L,iShares S\u0026P 500 Utilities Sector UCITS ETF,LSE,ETF,TRADING212
IUVF.L,iShares Edge MSCI USA Value Factor UCITS ETF,LSE,ETF,TRADING212
IWDG.L,iShares Core MSCI World UCITS ETF,LSE,ETF,TRADING212
IWDP.L,iShares Developed Markets Property Yield UCITS ETF,LSE,ETF,TRADING212
IWFM.L,iShares Edge MSCI World Momentum Factor UCITS ETF,LSE,ETF,TRADING212
IWFQ.L,iShares Edge MSCI World Quality Factor UCITS ETF,LSE,ETF,TRADING212
IWFS.L,iShares IV plc - iShares Edge MSCI World Size Factor UCITS ETF,LSE,ETF,TRADING212
IWFV.L,iShares Edge MSCI World Value Factor UCITS ETF,LSE,ETF,TRADING212
IWRD.L,iShares MSCI World UCITS ETF,LSE,ETF,TRADING212
IWVG.L,iShares Edge MSCI World Value Factor UCITS ETF,LSE,ETF,TRADING212
JARI.L,Amundi Index MSCI Japan SRI PAB ETF,LSE,ETF,TRADING212
JETP.L,US Global Jets UCITS ETF,LSE,ETF,TRADING212
JG15.L,JPMorgan BetaBuilders UK Gilt 1-5 YR UCITS ETF,LSE,ETF,TRADING212
JGST.L,JPMorgan GBP Ultra-Short Income UCITS ETF,LSE,ETF,TRADING212
JNKS.L,SPDR Bloomberg SASB U.S. High Yield Corporate ESG UCITS ETF,LSE,ETF,TRADING212
JPGB.L,WisdomTree Short JPY Long GBP,LSE,ETF,TRADING212
JPJP.L,SPDR MSCI Japan UCITS ETF,LSE,ETF,TRADING212
JPLG.L,JPMorgan Global Equity Multi-Factor UCITS ETF,LSE,ETF,TRADING212
JPNL.L,Amundi Japan TOPIX II UCITS ETF,LSE,ETF,TRADING212
JPSG.L,iShares IV Public Limited Company - iShares MSCI Japan SRI UCITS ETF USD,LSE,ETF,TRADING212
KLWD.L,WisdomTree Cloud Computing UCITS ETF,LSE,ETF,TRADING212
KOIP.L,ETC Group Digital Assets And Blockchain Equity UCITS ETF,LSE,ETF,TRADING212
KROG.L,Global X Agtech \u0026 Food Innovation UCITS ETF,LSE,ETF,TRADING212
KWBP.L,KraneShares CSI China Internet UCITS ETF,LSE,ETF,TRADING212
L100.L,Amundi FTSE 100 UCITS ETF,LSE,ETF,TRADING212
LAZG.L,L\u0026G Optical Technology \u0026 Photonics ESG Exclusions UCITS ETF,LSE,ETF,TRADING212
LCAL.L,Amundi MSCI Emerging Asia II UCITS ETF,LSE,ETF,TRADING212
LCRP.L,SPDR Bloomberg 10+ Year U.S. Corporate Bond UCITS ETF,LSE,ETF,TRADING212
LCUK.L,Lyxor Core UK Equity All Cap DR UCITS ETF,LSE,ETF,TRADING212
LCWL.L,Amundi MSCI World V UCITS ETF,LSE,ETF,TRADING212
LDAG.L,L\u0026G Quality Equity Dividends ESG Exclusions Asia Pacific ex-Japan UCITS ETF,LSE,ETF,TRADING212
LDEG.L,L\u0026G Quality Equity Dividends ESG Exclusions Europe ex-UK UCITS ETF,LSE,ETF,TRADING212
LDUK.L,L\u0026G Quality Equity Dividends ESG Exclusions UK UCITS ETF,LSE,ETF,TRADING212
LGAG.L,L\u0026G Asia Pacific ex Japan Equity UCITS ETF,LSE,ETF,TRADING212
LGCF.L,Invesco Commodity Composite UCITS ETF,LSE,ETF,TRADING212
LGEG.L,L\u0026G Europe ex UK Equity UCITS ETF,LSE,ETF,TRADING212
LGGG.L,L\u0026G Global Equity UCITS ETF,LSE,ETF,TRADING212
LGJG.L,L\u0026G Japan Equity UCITS ETF,LSE,ETF,TRADING212
LGUK.L,L\u0026G UK Equity UCITS ETF,LSE,ETF,TRADING212
LITG.L,Global X Lithium \u0026 Battery Tech UCITS ETF,LSE,ETF,TRADING212
LIVP.L,UBS ETC linked to the UBS Bloomberg CMCI Livestock GBP Mth Hdg TR,LSE,ETF,TRADING212
LQDG.L,iShares USD Corp Bond Interest Rate Hedged UCITS ETF,LSE,ETF,TRADING212
LQDS.L,iShares USD Corp Bond UCITS ETF,LSE,ETF,TRADING212
LQGH.L,iShares USD Corp Bond UCITS ETF,LSE,ETF,TRADING212
LTAM.L,iShares MSCI EM Latin America UCITS ETF,LSE,ETF,TRADING212
LUXG.L,Amundi S\u0026P Global Luxury UCITS ETF,LSE,ETF,TRADING212
LVNG.L,Rize Environmental Impact 100 UCITS ETF,LSE,ETF,TRADING212
MACG.L,BlackRock ESG Multi-Asset Conservative Portfolio UCITS ETF,LSE,ETF,TRADING212
MAGG.L,BlackRock ESG Multi-Asset Growth Portfolio UCITS ETF,LSE,ETF,TRADING212
MAMG.L,BlackRock ESG Multi-Asset Moderate Portfolio UCITS ETF,LSE,ETF,TRADING212
MCHS.L,Invesco MSCI China All Shares Stock Connect UCITS ETF,LSE,ETF,TRADING212
MCTS.L,Invesco MSCI China Technology All Shares Stock Connect UCITS ETF,LSE,ETF,TRADING212
METP.L,ETC Group Global Metaverse UCITS ETF,LSE,ETF,TRADING212
MEUD.L,Lyxor Core STOXX Europe 600 DR,LSE,ETF,TRADING212
MEXP.L,Finamex Mexico S\u0026 P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF,LSE,ETF,TRADING212
MIDD.L,iShares FTSE 250 UCITS ETF,LSE,ETF,TRADING212
MINV.L,iShares Edge MSCI World Minimum Volatility UCITS ETF,LSE,ETF,TRADING212
MOGB.L,VanEck Morningstar US Sustainable Wide Moat UCITS ETF,LSE,ETF,TRADING212
MSAP.L,Invesco MSCI Saudi Arabia UCITS ETF,LSE,ETF,TRADING212
MSDG.L,Amundi Index MSCI Emerging Markets SRI PAB ETF,LSE,ETF,TRADING212
MSRG.L,Amundi Index MSCI Emerging Markets SRI PAB ETF,LSE,ETF,TRADING212
MUNS.L,Invesco US Municipal Bond UCITS ETF,LSE,ETF,TRADING212
MVEA.L,iShares MSCI USA Minimum Volatility ESG UCITS ETF,LSE,ETF,TRADING212
MVEE.L,iShares MSCI Europe Minimum Volatility ESG UCITS ETF,LSE,ETF,TRADING212
MVEW.L,iShares Edge MSCI World Minimum Volatility ESG UCITS ETF,LSE,ETF,TRADING212
MVUS.L,iShares Edge S\u0026P 500 Minimum Volatility UCITS ETF,LSE,ETF,TRADING212
MXUK.L,Invesco MSCI Europe ex-UK UCITS ETF,LSE,ETF,TRADING212
MXWS.L,Invesco MSCI World UCITS ETF,LSE,ETF,TRADING212
NASL.L,Amundi Nasdaq-100 II UCITS ETF,LSE,ETF,TRADING212
NATP.L,Future of Defence UCITS ETF,LSE,ETF,TRADING212
NGAG.L,UBS ETC linked to the UBS Bloomberg CMCI Components Natural Gas GBP Mth Hdg TR,LSE,ETF,TRADING212
NGSP.L,WisdomTree Natural Gas,LSE,ETF,TRADING212
NRGT.L,WisdomTree Energy Transition Metals,LSE,ETF,TRADING212
NRJL.L,Amundi MSCI New Energy ESG Screened UCITS ETF,LSE,ETF,TRADING212
NUCG.L,VanEck Uranium and Nuclear Technologies UCITS ETF,LSE,ETF,TRADING212
OILG.L,UBS ETC linked to the UBS Bloomberg CMCI Components WTI Crude Oil GBP Mth Hdg TR,LSE,ETF,TRADING212
OMXS.L,iShares OMX Stockholm Capped UCITS ETF,LSE,ETF,TRADING212
PADV.L,SPDR S\u0026P Pan Asia Dividend Aristocrats UCITS ETF,LSE,ETF,TRADING212
PAVG.L,Global X US Infrastructure Development UCITS ETF,LSE,ETF,TRADING212
PAYG.L,Rize Digital Payments Economy UCITS ETF,LSE,ETF,TRADING212
PBRT.L,WisdomTree Brent Crude Oil - GBP Daily Hedged,LSE,ETF,TRADING212
PCRD.L,WisdomTree WTI Crude Oil - GBP Daily Hedged,LSE,ETF,TRADING212
PHGP.L,WisdomTree Physical Gold,LSE,ETF,TRADING212
PHPP.L,WisdomTree Physical Precious Metals,LSE,ETF,TRADING212
PHSP.L,WisdomTree Physical Silver,LSE,ETF,TRADING212
PIGI.L,Digital Infrastructure \u0026 Connectivity UCITS ETF,LSE,ETF,TRADING212
PIMT.L,WisdomTree Industrial Metals - GBP Daily Hedged,LSE,ETF,TRADING212
PMLP.L,Alerian Midstream Energy Dividend UCITS ETF,LSE,ETF,TRADING212
PPDX.L,WisdomTree Physical Palladium,LSE,ETF,TRADING212
PPTX.L,WisdomTree Physical Platinum,LSE,ETF,TRADING212
PQVG.L,Invesco S\u0026P 500 QVM UCITS ETF,LSE,ETF,TRADING212
PRIW.L,Amundi Prime Global UCITS ETF DR,LSE,ETF,TRADING212
PRMG.L,UBS ETC linked to the UBS Bloomberg CMCI Precious Metals GBP Mth Hdg TR,LSE,ETF,TRADING212
PRUK.L,Amundi Prime UK Mid \u0026 Small Cap,LSE,ETF,TRADING212
PSRE.L,Invesco FTSE RAFI Europe UCITS ETF,LSE,ETF,TRADING212
PSRF.L,Invesco FTSE RAFI US 1000 UCITS ETF,LSE,ETF,TRADING212
PSRM.L,Invesco FTSE RAFI Emerging Markets UCITS ETF,LSE,ETF,TRADING212
PSRU.L,Invesco FTSE RAFI UK 100 UCITS ETF,LSE,ETF,TRADING212
PSRW.L,Invesco FTSE RAFI All World 3000 UCITS ETF,LSE,ETF,TRADING212
QCLN.L,First Trust Nasdaq Clean Edge Green Energy UCITS ETF,LSE,ETF,TRADING212
QDFD.L,FlexShares Developed Markets High Dividend Climate ESG UCITS ETF,LSE,ETF,TRADING212
QUID.L,PIMCO Sterling Short Maturity UCITS ETF,LSE,ETF,TRADING212
QVFD.L,FlexShares Developed Markets Low Volatility Climate ESG UCITS ETF,LSE,ETF,TRADING212
QYLP.L,Global X Nasdaq 100 Covered Call UCITS ETF,LSE,ETF,TRADING212
R2SC.L,SPDR Russell 2000 U.S. Small Cap UCITS ETF,LSE,ETF,TRADING212
RAYG.L,Global X Solar UCITS ETF,LSE,ETF,TRADING212
RAYS.L,Invesco Solar Energy UCITS ETF,LSE,ETF,TRADING212
RBTX.L,iShares Automation \u0026 Robotics UCITS ETF,LSE,ETF,TRADING212
RDANGBP.L,ADAetc - ETC Group Physical Cardano,LSE,ETF,TRADING212
RECY.L,WisdomTree Recycling Decarbonisation UCITS ETF,LSE,ETF,TRADING212
REGB.L,VanEck Rare Earth and Strategic Metals UCITS ETF,LSE,ETF,TRADING212
RENG.L,L\u0026G Clean Energy UCITS ETF,LSE,ETF,TRADING212
REUG.L,Vaneck Circular Economy UCITS ETF,LSE,ETF,TRADING212
RISE.L,iShares Fallen Angels High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
RMAP.L,Royal Mint Responsibly Sourced Physical Gold ETC,LSE,ETF,TRADING212
RNRU.L,Global X Renewable Energy Producers UCITS ETF,LSE,ETF,TRADING212
ROLG.L,iShares Bloomberg Enhanced Roll Yield Commodity Swap UCITS ETF,LSE,ETF,TRADING212
RSGL.L,Amundi Russell 1000 Growth UCITS ETF,LSE,ETF,TRADING212
RTWP.L,L\u0026G Russell 2000 SM CAP Quality,LSE,ETF,TRADING212
S100.L,Invesco FTSE 100 UCITS ETF,LSE,ETF,TRADING212
S250.L,Invesco FTSE 250 UCITS ETF,LSE,ETF,TRADING212
S2HGBA.L,UBS Lux Fund Solutions - MSCI Switzerland 20/35 UCITS ETF,LSE,ETF,TRADING212
S400.L,Invesco JPX-Nikkei 400 UCITS ETF,LSE,ETF,TRADING212
SAAA.L,iShares Global AAA-AA Govt Bond UCITS ETF,LSE,ETF,TRADING212
SAEU.L,iShares MSCI Europe ESG Screened UCITS ETF,LSE,ETF,TRADING212
SAGG.L,iShares Core Global Aggregate Bond UCITS ETF,LSE,ETF,TRADING212
SAUM.L,iShares MSCI EMU ESG Screened UCITS ETF,LSE,ETF,TRADING212
SAUS.L,iShares MSCI Australia UCITS ETF,LSE,ETF,TRADING212
SBEM.L,UBS Lux Fund Solutions - Bloomberg USD Emerging Markets Sovereign UCITS ETF,LSE,ETF,TRADING212
SDEU.L,iShares Germany Govt Bond UCITS ETF,LSE,ETF,TRADING212
SDGH.L,iShares USD Short Duration Corp Bond UCITS ETF,LSE,ETF,TRADING212
SDHG.L,iShares USD Short Duration High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
SDIP.L,Global X Superdividend UCITS ETF,LSE,ETF,TRADING212
SDUE.L,iShares MSCI Europe ESG Screened UCITS ETF,LSE,ETF,TRADING212
SE15.L,iShares EUR Corp Bond 1-5yr UCITS ETF,LSE,ETF,TRADING212
SEAG.L,iShares EUR Aggregate Bond ESG UCITS ETF,LSE,ETF,TRADING212
SEDY.L,iShares EM Dividend UCITS ETF,LSE,ETF,TRADING212
SEGA.L,iShares Core EUR Govt Bond UCITS ETF,LSE,ETF,TRADING212
SEGM.L,iShares MSCI EM IMI ESG Screened UCITS ETF,LSE,ETF,TRADING212
SEMA.L,iShares MSCI EM UCITS ETF USD Acc,LSE,ETF,TRADING212
SEMB.L,iShares J.P. Morgan USD EM Bond UCITS ETF,LSE,ETF,TRADING212
SEMH.L,SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF,LSE,ETF,TRADING212
SEML.L,iShares JP Morgan EM Local Government Bond UCITS ETF,LSE,ETF,TRADING212
SETP.L,Sprott Energy Transition Materials UCITS ETF,LSE,ETF,TRADING212
SGBX.L,WisdomTree Physical Swiss Gold,LSE,ETF,TRADING212
SGEA.L,iShares Emerging Asia Local Govt Bond UCITS ETF,LSE,ETF,TRADING212
SGIL.L,iShares Global Inflation Linked Govt Bond UCITS ETF,LSE,ETF,TRADING212
SGJP.L,iShares MSCI Japan ESG Screened UCITS ETF,LSE,ETF,TRADING212
SGLN.L,iShares Physical Gold ETC,LSE,ETF,TRADING212
SGLO.L,iShares Global Govt Bond UCITS ETF,LSE,ETF,TRADING212
SGLP.L,Invesco Physical Gold ETC,LSE,ETF,TRADING212
SGLS.L,Invesco Physical Gold GBP Hedged ETC,LSE,ETF,TRADING212
SGSU.L,iShares USD Corp Bond 0-3yr ESG UCITS ETF,LSE,ETF,TRADING212
SGWS.L,iShares MSCI World SRI UCITS ETF,LSE,ETF,TRADING212
SHLG.L,iShares Digital Security UCITS ETF,LSE,ETF,TRADING212
SHYG.L,iShares EUR High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
SHYU.L,iShares USD High Yield Corp Bond UCITS ETF,LSE,ETF,TRADING212
SILG.L,Global X Silver Miners UCITS ETF,LSE,ETF,TRADING212
SJPA.L,iShares Core MSCI Japan IMI UCITS ETF,LSE,ETF,TRADING212
SKYP.L,HAN-GINS Cloud Technology Equal Weight UCITS ETF,LSE,ETF,TRADING212
SLVP.L,Invesco Physical Silver ETC,LSE,ETF,TRADING212
SLXX.L,iShares Core GBP Corp Bond UCITS ETF,LSE,ETF,TRADING212
SMBS.L,iShares US Mortgage Backed Securities UCITS ETF,LSE,ETF,TRADING212
SMEA.L,iShares Core MSCI Europe UCITS ETF EUR Acc,LSE,ETF,TRADING212
SMGB.L,VanEck Semiconductor UCITS ETF,LSE,ETF,TRADING212
SMUD.L,iShares MSCI EMU ESG Screened UCITS ETF,LSE,ETF,TRADING212
SNGB.L,iShares JP Morgan USD EM Corp Bond UCITS ETF,LSE,ETF,TRADING212
SNSG.L,Global X Internet of Things UCITS ETF,LSE,ETF,TRADING212
SPAG.L,iShares Agribusiness UCITS ETF,LSE,ETF,TRADING212
SPDM.L,iShares Physical Palladium ETC,LSE,ETF,TRADING212
SPEP.L,Invesco Markets PLC - Invesco S\u0026P 500 ESG UCITS ETF,LSE,ETF,TRADING212
SPES.L,Invesco S\u0026P 500 Equal Weight UCITS ETF,LSE,ETF,TRADING212
SPEX.L,Invesco S\u0026P 500 Equal Weight UCITS ETF,LSE,ETF,TRADING212
SPGP.L,iShares Gold Producers UCITS ETF,LSE,ETF,TRADING212
SPLT.L,iShares Physical Platinum ETC,LSE,ETF,TRADING212
SPOG.L,iShares Oil \u0026 Gas Exploration \u0026 Production UCITS ETF,LSE,ETF,TRADING212
SPOL.L,iShares MSCI Poland UCITS ETF,LSE,ETF,TRADING212
SPPB.L,iShares Spain Govt Bond UCITS ETF,LSE,ETF,TRADING212
SPPP.L,Invesco Physical Platinum ETC,LSE,ETF,TRADING212
SPX5.L,SPDR S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
SPXJ.L,iShares III plc - iShares MSCI Pacific ex-Japan UCITS ETF,LSE,ETF,TRADING212
SPXP.L,Invesco S\u0026P 500 UCITS ETF,LSE,ETF,TRADING212
SRHE.L,AMUNDI INDEX MSCI EMU SRI PAB ETF,LSE,ETF,TRADING212
SRSA.L,iShares MSCI South Africa UCITS ETF,LSE,ETF,TRADING212
SRUG.L,UBS Irl ETF PLC - MSCI USA Socially Responsible UCITS ETF,LSE,ETF,TRADING212
SSAC.L,iShares MSCI ACWI UCITS ETF,LSE,ETF,TRADING212
SSHY.L,PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF,LSE,ETF,TRADING212
SSLN.L,iShares Physical Silver ETC,LSE,ETF,TRADING212
STHS.L,PIMCO US Short-Term High Yield Corporate Bond Index UCITS ETF,LSE,ETF,TRADING212
STPH.L,Amundi US Curve steepening 2-10Y UCITS ETF,LSE,ETF,TRADING212
SUAG.L,iShares US Aggregate Bond UCITS ETF,LSE,ETF,TRADING212
SUAP.L,iShares MSCI USA SRI UCITS ETF,LSE,ETF,TRADING212
SUES.L,iShares MSCI EM SRI UCITS ETF,LSE,ETF,TRADING212
SUJA.L,iShares IV Public Limited Company - iShares MSCI Japan SRI UCITS ETF USD,LSE,ETF,TRADING212
SUJS.L,iShares MSCI Japan SRI EUR Hedged UCITS ETF Acc,LSE,ETF,TRADING212
SUKC.L,SPDR Bloomberg 0-5 Year Sterling Corporate Bond UCITS ETF,LSE,ETF,TRADING212
SUOG.L,iShares EUR Corp Bond ESG UCITS ETF,LSE,ETF,TRADING212
SUOP.L,iShares USD Corp Bond ESG UCITS ETF,LSE,ETF,TRADING212
SUSD.L,SPDR Bloomberg 0-3 Year U.S. Corporate Bond UCITS ETF,LSE,ETF,TRADING212
SUSS.L,iShares EUR Corp Bond 0-3yr ESG UCITS ETF,LSE,ETF,TRADING212
SUUS.L,iShares MSCI USA SRI UCITS ETF,LSE,ETF,TRADING212
SUWG.L,iShares MSCI World SRI UCITS ETF,LSE,ETF,TRADING212
SWDA.L,iShares Core MSCI World UCITS ETF,LSE,ETF,TRADING212
SWLD.L,SPDR MSCI World UCITS ETF,LSE,ETF,TRADING212
TANP.L,Solar Energy UCITS ETF,LSE,ETF,TRADING212
TDGB.L,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,LSE,ETF,TRADING212
TECW.L,SPDR MSCI World Technology UCITS ETF,LSE,ETF,TRADING212
TFRP.L,WisdomTree USD Floating Rate Treasury Bond UCITS ETF,LSE,ETF,TRADING212
TI5G.L,iShares II plc - iShares $ Tips 0-5 UCITS ETF,LSE,ETF,TRADING212
